char	positive	negative	neutral
ğŸ˜‚	0.25211606	0.4717274902	0.2761564498
â¤	0.6347260132	0.1255351175	0.2397388693
â™¥	0.5299412511	0.0956090597	0.3744496892
ğŸ˜	0.5584061178	0.1403149881	0.3012788941
ğŸ˜­	0.1500304169	0.676385463	0.1735841201
ğŸ˜˜	0.5855840336	0.1454843584	0.268931608
ğŸ˜Š	0.5251983164	0.1568309721	0.3179707115
ğŸ‘Œ	0.4572943959	0.23091021	0.3117953941
ğŸ’•	0.5057913808	0.1096741002	0.384534519
ğŸ‘	0.4214312506	0.2487446205	0.3298241289
ğŸ˜	0.3698106509	0.2884674656	0.3417218835
â˜º	0.5405351519	0.1651138244	0.2943510237
â™¡	0.5494852714	0.139385418	0.3111293106
ğŸ‘	0.4272303915	0.2730661226	0.2997034859
ğŸ˜©	0.0840190992	0.7898173297	0.1261635711
ğŸ™	0.3231504327	0.1851428913	0.491706676
âœŒ	0.375735746	0.2602923025	0.3639719515
ğŸ˜	0.2708383412	0.2413728116	0.4877888472
ğŸ˜‰	0.3700262048	0.2310492618	0.3989245334
ğŸ™Œ	0.4569989893	0.2471584527	0.295842558
ğŸ™ˆ	0.3706551814	0.3601664754	0.2691783432
ğŸ’ª	0.4407730059	0.1784678849	0.3807591092
ğŸ˜„	0.3509928571	0.3041981653	0.3448089776
ğŸ˜’	0.0814886939	0.7883806977	0.1301306084
ğŸ’ƒ	0.6223527987	0.1241661898	0.2534810115
ğŸ’–	0.595449412	0.1193194485	0.2852311395
ğŸ˜ƒ	0.4428381321	0.1778187955	0.3793430724
ğŸ˜”	0.1349690865	0.6981091348	0.1669217787
ğŸ˜±	0.2393172078	0.492661704	0.2680210882
ğŸ‰	0.6249108825	0.1088314634	0.2662576541
ğŸ˜œ	0.3681895711	0.255627281	0.3761831479
â˜¯	0.0033509578	0.0098960912	0.986752951
ğŸŒ¸	0.5255603487	0.1053713505	0.3690683008
ğŸ’œ	0.5314041791	0.1175220697	0.3510737512
ğŸ’™	0.6142246424	0.0905666773	0.2952086803
âœ¨	0.2574789052	0.114725506	0.6277955888
ğŸ˜³	0.1647358987	0.5538104492	0.281453652
ğŸ’—	0.5372108678	0.1348389511	0.3279501811
â˜…	0.1959960398	0.0667866924	0.7372172678
â–ˆ	0.0295097762	0.1650014383	0.8054887855
â˜€	0.3399302936	0.065200874	0.5948688324
ğŸ˜¡	0.1473410332	0.773634505	0.0790244618
ğŸ˜	0.3975683954	0.2467961503	0.3556354543
ğŸ˜¢	0.1812890069	0.631498489	0.1872125041
ğŸ’‹	0.5709106296	0.1054940227	0.3235953477
ğŸ˜‹	0.5078746236	0.1192661195	0.3728592569
ğŸ™Š	0.3815653459	0.304326217	0.3141084371
ğŸ˜´	0.1507725899	0.6608074302	0.1884199799
ğŸ¶	0.435065888	0.2321377674	0.3327963446
ğŸ’	0.6286501677	0.112014564	0.2593352683
ğŸ˜Œ	0.4039555502	0.3208074239	0.2752370259
ğŸ”¥	0.1455416127	0.2412998423	0.613158545
ğŸ’¯	0.204120881	0.505797267	0.290081852
ğŸ”«	0.1230349391	0.721852053	0.1551130079
ğŸ’›	0.5941448204	0.1159451134	0.2899100662
ğŸ’	0.3020766706	0.3944006332	0.3035226962
ğŸ’š	0.5469380725	0.2011874543	0.2518744731
â™«	0.2155195715	0.1347829715	0.6496974571
ğŸ˜	0.153751178	0.7236580245	0.1225907974
ğŸ˜†	0.3499274106	0.3370720144	0.3130005751
ğŸ˜	0.3513637505	0.2932494507	0.3553867988
ğŸ˜ª	0.154305434	0.6730290798	0.1726654862
ï¿½	0.1336020576	0.3103392932	0.5560586492
ğŸ˜«	0.1433286156	0.7251663069	0.1315050775
ğŸ˜…	0.24419393	0.5359053811	0.2199006889
ğŸ‘Š	0.2644137135	0.5016916644	0.2338946221
ğŸ’€	0.1082889144	0.6901234592	0.2015876264
ğŸ˜€	0.4612129284	0.2099842336	0.328802838
ğŸ˜š	0.5984132278	0.1313120668	0.2702747054
ğŸ˜»	0.506033481	0.1743495274	0.3196169916
Â©	0.1353774386	0.2515236383	0.6130989231
ğŸ‘€	0.147792468	0.4093212268	0.4428863052
ğŸ’˜	0.5680935718	0.1249598113	0.3069466168
ğŸ“	0.0720821895	0.2014115916	0.7265062189
â˜•	0.2218491621	0.2834603416	0.4946904963
ğŸ‘‹	0.3548640549	0.3445443439	0.3005916011
âœ‹	0.2265773139	0.5788761286	0.1945465575
ğŸŠ	0.6158676143	0.1537004013	0.2304319844
ğŸ•	0.3131417747	0.1262566078	0.5606016175
â„	0.4092683843	0.2326093843	0.3581222314
ğŸ˜¥	0.2198697376	0.5610143022	0.2191159603
ğŸ˜•	0.0754627404	0.7945355276	0.130001732
ğŸ’¥	0.1252281843	0.1417664296	0.7330053861
ğŸ’”	0.1278527977	0.6418800676	0.2302671347
ğŸ˜¤	0.1111012912	0.7024445787	0.18645413
ğŸ˜ˆ	0.2647956889	0.404798965	0.3304053461
â–º	0.1601922065	0.2441711815	0.595636612
âœˆ	0.3057620872	0.0951790246	0.5990588882
ğŸ”	0.3766107065	0.2029298238	0.4204594697
ğŸ˜°	0.1872118391	0.6950446011	0.1177435598
âš½	0.4979640632	0.1316949683	0.3703409685
ğŸ˜‘	0.0790678912	0.7191932535	0.2017388553
ğŸ‘‘	0.5806721483	0.1117367272	0.3075911245
ğŸ˜¹	0.2239298994	0.5371893368	0.2388807638
ğŸ‘‰	0.29826433	0.1565934254	0.5451422447
ğŸƒ	0.3027041067	0.2222103348	0.4750855585
ğŸ	0.6590367959	0.110736385	0.2302268191
ğŸ˜ 	0.1024398147	0.7786078444	0.1189523409
ğŸ§	0.3405947505	0.0935014335	0.5659038159
â˜†	0.3112284339	0.0678737557	0.6208978104
ğŸ€	0.1944578127	0.0480788614	0.7574633259
ğŸˆ	0.6000368579	0.0414915861	0.358471556
ğŸ…	0.2211438168	0.0577464398	0.7211097434
ğŸ˜“	0.1547299289	0.6740018347	0.1712682364
ğŸ˜£	0.1322470474	0.7740861396	0.093666813
ğŸ˜	0.061758129	0.7461200176	0.1921218534
âœŠ	0.3603146041	0.3067883382	0.3328970577
ğŸ˜¨	0.1263784667	0.6632966911	0.2103248422
ğŸ˜–	0.1377684662	0.721251089	0.1409804448
ğŸ’¤	0.3161073729	0.308471549	0.3754210781
ğŸ’“	0.5539035232	0.1557899941	0.2903064827
ğŸ‘	0.1265080541	0.7264020022	0.1470899437
ğŸ’¦	0.3967248506	0.3174692968	0.2858058525
âœ”	0.2339416399	0.2596031798	0.5064551804
ğŸ˜·	0.1277929443	0.7064923332	0.1657147225
âš¡	0.129426073	0.0849383838	0.7856355433
ğŸ™‹	0.4051305611	0.295011797	0.2998576418
ğŸ„	0.4208162347	0.1575329404	0.4216508248
ğŸ’©	0.1282069302	0.6374417884	0.2343512814
ğŸµ	0.408684796	0.2449364322	0.3463787718
â¡	0.0932639811	0.0188865173	0.8878495016
ğŸ˜›	0.4969901759	0.2085704123	0.2944394118
ğŸ˜¬	0.2441673132	0.4981993584	0.2576333284
ğŸ‘¯	0.3604992775	0.2598421563	0.3796585662
ğŸ’	0.4460415532	0.1337521066	0.4202063402
ğŸŒ¿	0.2639431115	0.0114070267	0.7246498618
ğŸ‚	0.5091224162	0.2047382881	0.2861392958
ğŸŒŸ	0.2437502635	0.1234022369	0.6328474996
ğŸ”®	0.1870320991	0.0662814692	0.7466864317
â—	0.1379200807	0.2970947646	0.5649851548
ğŸ‘«	0.2652012737	0.4299244914	0.3048742349
ğŸ†	0.6195337918	0.0884109302	0.292055278
âœ–	0.2252908986	0.0925679236	0.6821411779
â˜	0.2707213465	0.2977439815	0.431534672
ğŸ˜™	0.6818180963	0.0470700908	0.2711118129
â›„	0.4162473533	0.1795798725	0.4041727742
ğŸ‘…	0.3828202599	0.2785997393	0.3385800008
â™ª	0.4309451923	0.1941365334	0.3749182744
ğŸ‚	0.4237651742	0.0811763487	0.4950584771
ğŸ’	0.3466377344	0.3824369893	0.2709252763
ğŸ”ª	0.1436766947	0.3793811314	0.4769421739
ğŸŒ´	0.4206770373	0.1794503799	0.3998725829
ğŸ‘ˆ	0.3339745997	0.1861776077	0.4798477925
ğŸŒ¹	0.4726588897	0.0465287417	0.4808123686
ğŸ™†	0.4040986336	0.2105980996	0.3853032668
âœ	0.123591984	0.097331579	0.779076437
ğŸ‘»	0.2250562347	0.3333114675	0.4416322978
ğŸ’°	0.2358041931	0.3148848452	0.4493109617
ğŸ»	0.4216265189	0.2466127886	0.3317606925
ğŸ™…	0.1060655445	0.6801655104	0.2137689452
ğŸŒ	0.4300633449	0.0481289134	0.5218077418